date;value
2016;12;29;0;23
2016;12;29;1;13
2016;12;29;2;10
2016;12;29;3;10
2016;12;29;4;13
2016;12;29;5;12
2016;12;29;6;8
2016;12;29;7;9
2016;12;29;8;16
2016;12;29;9;15
2016;12;29;10;17
2016;12;29;11;22
2016;12;29;12;23
2016;12;29;13;19
2016;12;29;14;21
2016;12;29;15;17
2016;12;29;16;22
2016;12;29;17;18
2016;12;29;18;18
2016;12;29;19;19
2016;12;29;20;26
2016;12;29;21;21
2016;12;29;22;26
2016;12;29;23;20
2016;12;30;0;16
2016;12;30;1;13
2016;12;30;2;20
2016;12;30;3;12
2016;12;30;4;7
2016;12;30;5;6
2016;12;30;6;13
2016;12;30;7;13
2016;12;30;8;11
2016;12;30;9;9
2016;12;30;10;15
2016;12;30;11;19
2016;12;30;12;19
2016;12;30;13;23
2016;12;30;14;12
2016;12;30;15;18
2016;12;30;16;16
2016;12;30;17;19
2016;12;30;18;21
2016;12;30;19;17
2016;12;30;20;22
2016;12;30;21;18
2016;12;30;22;25
2016;12;30;23;26
